24.99,0
25,0.439
25.01,0.151
25.02,0.428
25.03,0.597
25.04,0.349
25.05,0.419
25.06,0.488
25.07,0.39
25.08,0.492
25.09,0.291
25.1,0.5
25.11,0.392
25.12,0.495
25.13,0.535
25.14,0.491
25.15,0.466
25.16,0.27
25.17,0.317
25.18,0.36
25.19,0.191
25.2,0.33
25.21,0.358
25.22,0.272
25.23,0.456
25.24,0.491
25.25,0.422
25.26,0.626
25.27,0.464
25.28,0.293
25.29,0.523
25.3,0.387
25.31,0.492
25.32,0.495
25.33,0.451
25.34,0.278
25.35,0.201
25.36,0.223
25.37,0.233
25.38,0.334
25.39,0.288
25.4,0.404
25.41,0.348
25.42,0.201
25.43,0.304
25.44,0.38
25.45,0.386
25.46,0.414
25.47,0.275
25.48,0.235
25.49,0.167
25.5,0.307
25.51,0.286
25.52,0.349
25.53,0.31
25.54,0.294
25.55,0.148
25.56,0.251
25.57,0.191
25.58,0.273
25.59,0.284
25.6,0.372
25.61,0.297
25.62,0.353
25.63,0.194
25.64,0.181
25.65,0.259
25.66,0.269
25.67,0.269
25.68,0.367
25.69,0.386
25.7,0.388
25.71,0.377
25.72,0.336
25.73,0.299
25.74,0.184
25.75,0.144
25.76,0.139
25.77,0.253
25.78,0.177
25.79,0.145
25.8,0.147
25.81,0.122
25.82,0.201
25.83,0.1
25.84,0.175
25.85,0.251
25.86,0.212
25.87,0.148
25.88,0.244
25.89,0.149
25.9,0.174
25.91,0.179
25.92,0.289
25.93,0.121
25.94,0.276
25.95,0.128
25.96,0.21
25.97,0.07
25.98,0.208
25.99,0.19
26,0.102
26.01,0.054
26.02,0.071
26.03,0.094
26.04,0.098
26.05,0.242
26.06,0.145
26.07,0.139
26.08,0.069
26.09,0.285
26.1,0.142
26.11,0.193
26.12,0.248
26.13,0.189
26.14,0.23
26.15,0.094
26.16,0.063
26.17,0.057
26.18,0.035
26.19,0.091
26.2,0.079
26.21,0.146
26.22,0.111
26.23,0.095
26.24,0.096
26.25,0.071
26.26,0.125
26.27,0.051
26.28,0.12
26.29,0.047
26.3,0.018
26.31,0.164
26.32,0.115
26.33,0.13
26.34,0.1
26.35,0.052
26.36,0.205
26.37,0.07
26.38,0.098
26.39,0.089
26.4,0.102
26.41,0.202
26.42,0.163
26.43,0.163
26.44,0.055
26.45,0.029
26.46,0.055
26.47,-0.066
26.48,0.134
26.49,0.024
26.5,-0.008
26.51,0.103
26.52,0.055
26.53,0.029
26.54,0.063
26.55,-0.016
26.56,-0.031
26.57,0.047
26.58,0.07
26.59,0.032
26.6,0.046
26.61,0.011
26.62,-0.056
26.63,0.118
26.64,0.016
26.65,0.07
26.66,0.152
26.67,0.127
26.68,0.022
26.69,0.072
26.7,0.095
26.71,0.033
26.72,0.017
26.73,-0.008
26.74,-0.097
26.75,0.015
26.76,-0.005
26.77,0.022
26.78,-0.027
26.79,-0.118
26.8,-0.057
26.81,-0.02
26.82,-0.006
26.83,-0.057
26.84,-0.046
26.85,-0.06
26.86,-0.088
26.87,-0.107
26.88,-0.074
26.89,-0.039
26.9,-0.072
26.91,0.009
26.92,-0.068
26.93,0.005
26.94,0.153
26.95,-0.035
26.96,0.061
26.97,-0.001
26.98,-0.038
26.99,0.047
27,0.057
27.01,-0.072
27.02,-0.016
27.03,0.011
27.04,0.015
27.05,0.055
27.06,0.012
27.07,0.017
27.08,0.031
27.09,-0.024
27.1,-0.048
27.11,-0.018
27.12,0.017
27.13,-0.118
27.14,-0.056
27.15,-0.024
27.16,0.033
27.17,0.093
27.18,-0.038
27.19,0.075
27.2,0.088
27.21,0.13
27.22,0.114
27.23,-0.031
27.24,-0.02
27.25,-0.002
27.26,0.057
27.27,-0.026
27.28,-0.087
27.29,-0.042
27.3,-0.022
27.31,-0.024
27.32,0.062
27.33,-0.047
27.34,0.003
27.35,0.011
27.36,0.011
27.37,-0.041
27.38,-0.012
27.39,-0.032
27.4,-0.006
27.41,0.086
27.42,0.001
27.43,0.031
27.44,-0.067
27.45,-0.053
27.46,-0.01
27.47,-0.005
27.48,-0.075
27.49,-0.116
27.5,-0.023
27.51,-0.104
27.52,-0.111
27.53,-0.118
27.54,-0.114
27.55,-0.053
27.56,0.02
27.57,0.051
27.58,-0.065
27.59,0.086
27.6,-0.015
27.61,-0.038
27.62,-0.025
27.63,-0.056
27.64,-0.109
27.65,0.02
27.66,0.006
27.67,-0.023
27.68,0.082
27.69,-0.057
27.7,0.063
27.71,0.09
27.72,0.022
27.73,-0.013
27.74,0.065
27.75,0.103
27.76,-0.099
27.77,-0.037
27.78,-0.034
27.79,-0.039
27.8,0.106
27.81,0.082
27.82,0.038
27.83,0.053
27.84,0.041
27.85,-0.019
27.86,0.045
27.87,0.006
27.88,-0.023
27.89,0.08
27.9,-0.022
27.91,-0.032
27.92,0.008
27.93,-0.053
27.94,0.014
27.95,0.137
27.96,0.065
27.97,0.012
27.98,0.019
27.99,0.011
28,-0.057
28.01,0.043
28.02,0.044
28.03,-0.001
28.04,0.077
28.05,0.058
28.06,0.108
28.07,0.069
28.08,0.028
28.09,0.047
28.1,0.03
28.11,0.067
28.12,0.01
28.13,0.037
28.14,0.05
28.15,-0.047
28.16,0.012
28.17,-0.127
28.18,-0.013
28.19,0.036
28.2,0.084
28.21,0.075
28.22,0.083
28.23,0.008
28.24,0.048
28.25,-0.006
28.26,0.025
28.27,-0.007
28.28,0.072
28.29,0.048
28.3,-0.002
28.31,-0.004
28.32,-0.056
28.33,0.05
28.34,0.065
28.35,0.086
28.36,0.003
28.37,0.142
28.38,0.054
28.39,0.039
28.4,0.043
28.41,0.002
28.42,-0.102
28.43,-0.117
28.44,-0.102
28.45,0.001
28.46,0.1
28.47,0.041
28.48,0.097
28.49,0.047
28.5,0.023
28.51,-0.047
28.52,0.031
28.53,-0.005
28.54,-0.008
28.55,0.104
28.56,0.012
28.57,0.117
28.58,0.134
28.59,0.068
28.6,0.05
28.61,0.128
28.62,0.095
28.63,0.031
28.64,0.08
28.65,0.145
28.66,0.091
28.67,0.043
28.68,0.085
28.69,0.026
28.7,0.043
28.71,-0.007
28.72,0.006
28.73,0.074
28.74,0.003
28.75,0.016
28.76,0.044
28.77,-0.066
28.78,0.03
28.79,0.044
28.8,0.082
28.81,0.088
28.82,0.12
28.83,-0.033
28.84,0.012
28.85,-0.006
28.86,-0.009
28.87,0.036
28.88,0.038
28.89,0.024
28.9,-0.002
28.91,0.04
28.92,-0.031
28.93,0.036
28.94,0.167
28.95,0
28.96,0.07
28.97,0.125
28.98,0.061
28.99,0.072
29,0.123
29.01,0.095
29.02,0.039
29.03,-0.032
29.04,0.118
29.05,-0.024
29.06,0.028
29.07,-0.002
29.08,0.026
29.09,0.081
29.1,0.045
29.11,0.018
29.12,0.015
29.13,0.049
29.14,0.058
29.15,0.049
29.16,0.112
29.17,0.061
29.18,0.181
29.19,0.1
29.2,0.093
29.21,0.149
29.22,0.103
29.23,0.22
29.24,0.219
29.25,0.152
29.26,0.135
29.27,0.234
29.28,0.195
29.29,0.134
29.3,0.25
29.31,0.156
29.32,0.126
29.33,0.224
29.34,0.149
29.35,0.196
29.36,0.275
29.37,0.244
29.38,0.253
29.39,0.253
29.4,0.25
29.41,0.215
29.42,0.205
29.43,0.18
29.44,0.289
29.45,0.413
29.46,0.357
29.47,0.361
29.48,0.466
29.49,0.404
29.5,0.398
29.51,0.419
29.52,0.317
29.53,0.385
29.54,0.452
29.55,0.472
29.56,0.43
29.57,0.634
29.58,0.487
29.59,0.582
29.6,0.557
29.61,0.503
29.62,0.545
29.63,0.655
29.64,0.621
29.65,0.601
29.66,0.791
29.67,0.854
29.68,0.788
29.69,0.943
29.7,1.003
29.71,1.11
29.72,1.236
29.73,1.245
29.74,1.333
29.75,1.468
29.76,1.554
29.77,1.671
29.78,1.846
29.79,1.951
29.8,2.098
29.81,2.264
29.82,2.434
